,categories,coordinates.latitude,coordinates.longitude,id,location.address1,location.address2,location.address3,location.city,location.country,location.formatted_address,location.postal_code,location.state,name,price,rating,review_count,url,cluster_id,score,path
388,"[{'alias': 'wine_bars'}, {'alias': 'french'}]",34.04601669,-118.4645996,_M-pCI3xd501eBhO1wu-5Q,11916 Wilshire Blvd,,,Los Angeles,US,"11916 Wilshire Blvd
Los Angeles, CA 90025",90025,CA,Belle Vie Food & Wine,$$,4.5,212,https://www.yelp.com/biz/belle-vie-food-and-wine-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,7,6.826335861,4
398,"[{'alias': 'bars'}, {'alias': 'tradamerican'}]",34.059655,-118.4437586,YSRR-Xhed3gRLVtaNuwM3A,10899 Wilshire Blvd,,Hammer Museum,Los Angeles,US,"10899 Wilshire Blvd
Hammer Museum
Los Angeles, CA 90024",90024,CA,Audrey At The Hammer,,3.5,69,https://www.yelp.com/biz/audrey-at-the-hammer-los-angeles-3?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,8,5.338849091,1
400,[{'alias': 'comedyclubs'}],34.06262487,-118.4482384,rxIn8MyGfhYQNoN6bkIFDg,954 Gayley Ave,,,Los Angeles,US,"954 Gayley Ave
Los Angeles, CA 90024",90024,CA,The Improv Space,$,4.5,44,https://www.yelp.com/biz/the-improv-space-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,8,6.143452676,2
393,"[{'alias': 'coffee'}, {'alias': 'mideastern'}, {'alias': 'hookah_bars'}]",34.06314409,-118.447217,a8zs0zfAHa231nGGUutvrQ,923 Broxton Ave,,,Los Angeles,US,"923 Broxton Ave
Los Angeles, CA 90024",90024,CA,Habibi Cafe,$$,2.5,572,https://www.yelp.com/biz/habibi-cafe-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,8,5.257396029,3
401,"[{'alias': 'mediterranean'}, {'alias': 'wine_bars'}, {'alias': 'hookah_bars'}]",34.06293,-118.44684,zFQ_2p-vxjdI8SPuNXTgaQ,940 Broxton Ave,,,Los Angeles,US,"940 Broxton Ave
Los Angeles, CA 90024",90024,CA,Shahi,$$,4.5,70,https://www.yelp.com/biz/shahi-los-angeles-3?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,8,6.34509804,4
394,[{'alias': 'bars'}],34.0631,-118.44362,35LG4UfojynOWmoCTV2z4A,10861 Weyburn Ave,,,Los Angeles,US,"10861 Weyburn Ave
Los Angeles, CA 90024",90024,CA,Cork And Tap Beer And Wine Bar,$,4.5,28,https://www.yelp.com/biz/cork-and-tap-beer-and-wine-bar-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,8,5.947158031,5
423,"[{'alias': 'galleries'}, {'alias': 'musicvenues'}]",34.0766983,-118.2564468,obzZHf-5mosn8-VEGGNbkg,1549 W Sunset Blvd,,,Los Angeles,US,"1549 W Sunset Blvd
Los Angeles, CA 90026",90026,CA,Sancho,,4.5,2,https://www.yelp.com/biz/sancho-los-angeles-2?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,4.801029996,1
425,"[{'alias': 'tradamerican'}, {'alias': 'sportsbars'}]",34.07727,-118.2567,t3tEurb20KwPc4bFeuzVDQ,1320 Echo Park Ave,,,Los Angeles,US,"1320 Echo Park Ave
Los Angeles, CA 90026",90026,CA,The Holloway,$$,3.5,161,https://www.yelp.com/biz/the-holloway-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,5.706825876,2
405,"[{'alias': 'beer_and_wine'}, {'alias': 'wine_bars'}]",34.07556932,-118.2553611,M--hANCBq8EqR4in8CnPew,1498 W Sunset Blvd,Ste 3,,Los Angeles,US,"1498 W Sunset Blvd
Ste 3
Los Angeles, CA 90026",90026,CA,Sunset Beer Company,$$,4.5,357,https://www.yelp.com/biz/sunset-beer-company-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,7.052668216,3
414,"[{'alias': 'cocktailbars'}, {'alias': 'lounges'}, {'alias': 'wine_bars'}]",34.075508,-118.255245,QxjU5TnmLpF6Y9hp3SpUeg,1498 Sunset Blvd,,,Los Angeles,US,"1498 Sunset Blvd
Los Angeles, CA 90026",90026,CA,Bar Calo,$$,4,56,https://www.yelp.com/biz/bar-calo-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,9,5.748188027,4
